FECHA,HORA,AUTO DESIGNADO,NOMBRE RESERVA,ORIGEN,DESTINO,ESTADO,COMENTARIOS
2025-02-19,11:30:00,TOMÁS,Antonio Martellone,HOTEL VITACURA,CLUB HOUSE,OK,2 Autos Grandes
2025-02-20,08:30:00,JUAN PABLO,Hawkeye (2 AUTOS),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,09:30:00,VICTOR,Ignacio buse +1,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,10:00:00,CAMILA,Kilian Feldbausch + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:00:00,DJAMIL,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:00:00,,Juanma Cerundolo + Coach,HOTEL BOSQUE,HOTEL BOSQUE,OK,
2025-02-20,10:00:00,,Juan Pablo Varillas + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,IGNACIO,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,CAMILA,Corentin Moutet + 3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,DIEGO S,Crionet,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,10:30:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:00:00,JUAN PABLO,Leonardo Mayer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:30:00,,Pol Martin,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,12:00:00,,Dimitar Trifunovski,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,12:30:00,,Matteo Grigatti,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,15:00:00,,Kilian Fedelbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,16:30:00,STEFANO,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,16:30:00,,Diaz Acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,08:30:00,,Hawkeye,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Moutet +3 ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Hugo Gaston,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:00:00,,Diego Junqueira + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
